point,east,north,zone,hemisphere,lat,lon,psf,grid_conv
Amity,NaN,NaN,56,South,nan,nan,nan,nan
Amity,543560.2107,6969912.14,56,South,-27.393415060,153.440588895,0.99962342,0.202717
Amity,543538.6417,6969917.435,56,South,-27.393367947,153.440370552,0.9996234,0.202616
Amity,543468.1632,6969942.716,56,South,-27.393141963,153.439656813,0.99962332,0.202286
Amity,543472.5323,6969948.954,56,South,-27.393085508,153.439700780,0.99962333,0.202306
Amity,543476.6513,6969953.144,56,South,-27.393047550,153.439742291,0.99962333,0.202325
Amity,543480.8851,6969956.89,56,South,-27.393013597,153.439784979,0.99962334,0.202345
Amity,543484.9769,6969960.809,56,South,-27.392978086,153.439826224,0.99962334,0.202363
Amity,543489.1336,6969966.733,56,South,-27.392924473,153.439868054,0.99962335,0.202382
Amity,543491.9401,6969971.984,56,South,-27.392876978,153.439896252,0.99962335,0.202395
Amity,543497.4234,6969981.415,56,South,-27.392791662,153.439951374,0.99962335,0.202420
Amity,543503.0637,6969990.111,56,South,-27.392712976,153.440008111,0.99962336,0.202445
Amity,543507.5754,6969999.352,56,South,-27.392629406,153.440053412,0.99962337,0.202465
Amity,543511.9744,6970007.277,56,South,-27.392557720,153.440097621,0.99962337,0.202485
Amity,543518.63,6970016.366,56,South,-27.392475454,153.440164612,0.99962338,0.202516
Amity,543501.8072,6969930.367,56,South,-27.393252374,153.439997537,0.99962336,0.202444
Amity,543561.6968,6969914.644,56,South,-27.393392407,153.440603837,0.99962342,0.202724
Amity,543529.7196,6969923.109,56,South,-27.393317008,153.440280109,0.99962339,0.202574
Amity,543480.1823,6969935.63,56,South,-27.393205551,153.439778630,0.99962334,0.202343
Amity,543484.8838,6969943.469,56,South,-27.393134632,153.439825902,0.99962334,0.202364
Amity,543489.8532,6969951.371,56,South,-27.393063135,153.439875881,0.99962335,0.202387
Amity,543493.1476,6969961.64,56,South,-27.392970324,153.439908835,0.99962335,0.202401
Amity,543500.3159,6969973.672,56,South,-27.392861472,153.439980906,0.99962336,0.202434
